,Name,Ave. generalization error,std
0,Mutagenicity,0.02684081718325615,0.02335287258028984
1,NCI1,0.013899045996367931,0.02649538964033127
2,COIL-RAG,0.04500000551342964,0.013785104267299175
3,Letter-high,0.040388885885477066,0.04342586174607277
4,DD,0.052459049969911575,0.058494918048381805
5,PROTEINS_full,0.018921971321105957,0.05032031610608101
6,COLORS-3,0.007678571157157421,0.014284634031355381
7,AIDS,0.009312480688095093,0.008642454631626606
8,ENZYMES,0.03458333760499954,0.052339185029268265
9,Cuneiform,0.23921287059783936,0.09868944436311722
