,Name,Ave. degree,Ave. shortest path,Graph diameter,Graph density,Graph clustering coefficient,Ave. closeness centrality,Ave. betweenness centrality,Ave. eigenvector centrality,1-WL color count
0,COIL-DEL,4.673071633424515,2.128750184714701,4.06974358974359,0.32752028235649233,0.546258039207784,0.5122126871677409,0.0647750716657882,0.2431245565997526,21.102564102564102
1,COIL-RAG,1.8277218368573067,1.0604823111763986,1.242159383033419,0.924030303030303,0.5903545713545713,0.9437252607661699,0.046278554778554776,0.5905014648511226,1.3115384615384615
2,Cuneiform,4.079588014981273,2.2444271032888437,3.0,0.22223306044447258,0.8634154547075895,0.4613474974345972,0.07229097337635769,0.19630178557032235,2.0
3,Fingerprint,1.4868577990824814,2.115136284036567,4.344413012729844,0.43917853514974725,0.0017307791737759164,0.5069423734352098,0.1840341453794884,0.4207756269406634,3.6565844578873894
4,FIRSTMM_DB,4.50236815941043,12.309044701937717,30.676056338028168,0.007402747787727187,0.26319222115399243,0.05517426541292665,0.01881892762561959,0.009270402870091475,1357.8292682926829
5,Letter-high,1.8896836075252956,1.4794456563750826,2.4444903012794055,0.5791851851851852,0.29761631393298055,0.6794971082752952,0.16578677248677248,0.46116706003311475,2.994222222222222
6,Letter-low,1.3213534599145254,1.33364428641149,1.955783308931186,0.41654708994708994,0.0,0.4955472438922087,0.1618904761904762,0.4407481624189365,2.471111111111111
7,Letter-med,1.352705840084288,1.3502031822344323,2.006610576923077,0.4245777777777778,0.013939329805996473,0.5071406868429822,0.1683222222222222,0.4416562761104123,2.517333333333333
8,MSRC_9,4.81534002269555,3.1136298958947637,7.004524886877828,0.12358730243115433,0.5412981657910688,0.33102605797573004,0.05521531378942605,0.1368862401087341,40.36199095022624
9,MSRC_21,5.102391318360188,4.094474312024695,9.621669626998223,0.06805710765936528,0.5146660459581984,0.25151148861599204,0.04153286864265803,0.09366329547291055,77.22735346358792
10,MSRC_21C,4.782574662751558,3.1137613140159996,6.971291866028708,0.12401077387603224,0.5427170070575877,0.3315153420789583,0.05573927110601865,0.13718509380802535,40.05263157894737
