,sweep_id,model_name,batch_size,hidden_size,dataset_name,normlization,learning_rate,default_patience,patience_plateau,num_hidden_layers
0,k9pthozg,bt_GCN,64,256,MCF-7,graph,0.006434620974325459,100,30,6
1,3qrfjy6o,bt_GCN,32,256,MCF-7H,graph,0.004312754885569333,200,10,2
2,v2mz1slc,bt_GCN,64,256,MOLT-4,graph,0.009967150397612798,100,20,4
3,vxy2b7ow,bt_GCN,32,256,MOLT-4H,graph,0.009575454476227782,200,30,4
4,3syvlji1,bt_GCN,32,32,Mutagenicity,batch,0.007041557349432841,100,10,6
5,9192ncsa,bt_GCN,32,256,MUTAG,graph,0.0005329314692500492,100,10,4
6,xv6cyy7n,bt_GCN,128,256,NCI1,batch,0.0003147580755110762,200,30,6
7,r4him3w6,bt_GCN,32,256,NCI109,graph,0.0013633377299749692,200,20,4
8,n1qnz64n,bt_GCN,32,64,NCI-H23,graph,0.005982086266762551,200,30,6
9,yrz1dkn8,bt_GCN,64,256,NCI-H23H,graph,0.008962256587821838,100,30,6
10,fe9g41dv,bt_GCN,32,64,OVCAR-8,graph,0.008058390283483746,200,10,6
11,q84jfpav,bt_GCN,32,256,OVCAR-8H,graph,0.006899464042253466,200,10,2
12,qcdh10ln,bt_GCN,32,128,P388,batch,0.0059726890926714675,100,30,6
13,4d5tj7a5,bt_GCN,64,128,P388H,batch,0.006524044137708278,100,10,2
14,5enepemu,bt_GCN,64,256,PC-3,graph,0.00774233102408192,200,10,6
15,kmk1ezbn,bt_GCN,32,256,PC-3H,graph,0.009168557901899277,200,10,6
16,1onsa0ju,bt_GCN,32,64,PTC_FM,batch,0.007109881206117814,200,10,6
17,v3fztlbf,bt_GCN,64,64,PTC_FR,graph,0.000310208292892619,100,10,6
18,sggjdzk6,bt_GCN,128,256,PTC_MM,graph,0.0011622507567909262,200,30,6
19,k9r4u3nk,bt_GCN,64,32,PTC_MR,batch,0.004032558103804468,200,20,6
20,9yccndo1,bt_GCN,32,32,SF-295,batch,0.009972992556437268,200,10,2
21,9bi73j1q,bt_GCN,32,64,SF-295H,batch,0.009544796374263304,200,30,6
22,d3ptlkei,bt_GCN,32,64,SN12C,graph,0.006775929769558198,200,10,2
23,fqb6evgy,bt_GCN,32,128,SN12CH,graph,0.0024461384709695876,100,10,6
24,h9yw2770,bt_GCN,32,256,SW-620,graph,0.004741983660067618,100,30,6
25,7b3varxu,bt_GCN,64,256,SW-620H,graph,0.007878108679510748,200,10,2
26,lzasgr22,bt_GCN,64,32,UACC257,graph,0.009365610394033504,100,10,4
27,1jsidsb8,bt_GCN,128,64,UACC257H,graph,0.008753670079637406,200,20,2
28,i516oasa,bt_GCN,32,32,Yeast,graph,0.006806049733878323,100,10,6
29,hisurm53,bt_GCN,32,256,YeastH,graph,0.005444835385110342,100,30,6
30,fpcguzjc,bt_GCN,128,32,PROTEINS_full,batch,0.0027132173204429113,200,30,6
31,z0buj4xj,bt_GCN,128,32,DD,batch,0.009680438002778447,200,20,6
32,6a2al4fg,bt_GCN,32,32,ENZYMES,batch,0.00439769653678899,200,30,4
33,0s6ruopc,bt_GCN,128,64,KKI,batch,0.005572514804931334,100,20,2
34,py46f9yz,bt_GCN,32,256,OHSU,graph,0.0047910867695199295,200,20,4
35,zn7nglur,bt_GCN,32,32,Peking_1,graph,0.0024384998627964565,200,10,4
36,47g3k099,bt_GCN,32,256,COLORS-3,batch,0.008946220104541578,200,20,2
37,lzcp0prz,bt_GCN,32,128,SYNTHETIC,batch,0.008709738591627006,200,30,6
38,xtcfih6j,bt_GCN,128,256,SYNTHETICnew,batch,0.009141024282563647,200,30,4
39,fawwgs8b,bt_GCN,32,128,Synthie,batch,0.004549213082974329,200,30,4
40,cjipjhn7,bt_GCN,32,32,TRIANGLES,batch,0.006027431114688887,100,30,4
41,jdcuhl7k,bt_GCN,32,256,AIDS,batch,0.0007779852541795866,200,10,6
42,k1e568py,bt_GCN,64,256,BZR,graph,0.0001947865181875269,100,10,4
43,2cgsgwdb,bt_GCN,128,64,BZR_MD,graph,0.0067656442799955375,200,20,4
44,60u7tbvm,bt_GCN,64,64,COX2,batch,0.0009235227998336112,100,10,6
45,p5k4yb2s,bt_GCN,64,128,COX2_MD,batch,0.006941350505355154,200,30,2
46,3mygzey4,bt_GCN,64,256,DHFR,batch,0.0001422023880616837,200,30,6
47,wwunpvcp,bt_GCN,64,32,DHFR_MD,batch,0.008595904781997801,200,20,6
48,brnj0fwi,bt_GCN,128,32,ER_MD,batch,0.008765024149600334,200,30,4
49,nbjetyuy,bt_GCN,128,64,FRANKENSTEIN,graph,0.006554295957028557,100,30,6
