,sweep_id,model_name,batch_size,hidden_size,dataset_name,normlization,learning_rate,default_patience,patience_plateau,num_hidden_layers
0,4a5da6u2,bt_SGC,32,32,PROTEINS_full,batch,0.0074594178386040684,200,10,4
1,78gwghqg,bt_SGC,64,256,DD,batch,0.0035861195712096985,200,10,2
2,k9x5tmcj,bt_SGC,32,64,ENZYMES,batch,0.006957866413247477,200,30,2
3,4803676n,bt_SGC,128,256,KKI,batch,0.007737048590520491,200,10,2
4,g0bysoh9,bt_SGC,128,256,OHSU,batch,0.0017135308173535345,200,30,2
5,ugiztffr,bt_SGC,128,128,Peking_1,graph,0.003846066718431413,100,20,6
6,ahi776zx,bt_SGC,64,128,COLORS-3,batch,0.0071753331418249085,200,20,2
7,6e39gwdf,bt_SGC,32,256,SYNTHETIC,batch,0.0028752543678682964,200,20,4
8,ejxv5v2w,bt_SGC,64,256,SYNTHETICnew,batch,0.006699275601988938,200,30,6
9,qipp0qjr,bt_SGC,32,256,Synthie,batch,0.0009912816178236797,200,20,6
10,kcp8645u,bt_SGC,128,64,AIDS,batch,0.004105117007834674,200,30,4
11,3trg7ahi,bt_SGC,128,64,BZR,graph,0.003490901783829299,100,10,6
12,jw59tmlt,bt_SGC,64,64,BZR_MD,graph,0.001624165076654377,200,30,4
13,l6u70aim,bt_SGC,32,256,COX2,batch,0.006227091588283437,100,10,2
14,b6p3u150,bt_SGC,32,32,COX2_MD,batch,0.007331623374007565,200,20,6
15,1j46b8or,bt_SGC,64,64,DHFR,batch,0.0015820832789025028,100,10,6
16,yeyba6ot,bt_SGC,64,64,DHFR_MD,graph,0.003930594354353771,100,10,6
17,lbke4p4r,bt_SGC,64,64,ER_MD,batch,0.006468254722219974,200,20,4
18,zqah5ga8,bt_SGC,128,256,FRANKENSTEIN,graph,0.0006236153940618606,200,20,6
19,a1al6e7w,bt_SGC,64,256,MCF-7,graph,0.008590140591313775,200,10,4
20,4w6pk9nw,bt_SGC,32,256,MCF-7H,graph,0.009304658005833882,100,30,6
21,odd8ruln,bt_SGC,32,128,MOLT-4,graph,0.006378918797311621,100,20,4
22,6xekfanu,bt_SGC,64,256,MOLT-4H,graph,0.00935370201340688,100,10,2
23,4n2pod86,bt_SGC,128,64,Mutagenicity,batch,0.0005047153177638867,100,20,6
24,9gxgku9a,bt_SGC,32,32,MUTAG,batch,0.00724575986753593,200,10,4
25,u709t8c4,bt_SGC,128,256,NCI1,batch,0.0002946104235995429,100,30,6
26,kuavmjoi,bt_SGC,128,256,NCI109,batch,0.0005217603159521348,100,10,6
27,4rnlmp5u,bt_SGC,32,64,NCI-H23,graph,0.007508251486047088,200,20,4
28,zjycw8ix,bt_SGC,32,32,NCI-H23H,graph,0.005683792833771182,100,10,6
29,qf39519v,bt_SGC,64,256,OVCAR-8,graph,0.0068927665041665035,200,10,2
30,umj2v2qs,bt_SGC,32,32,OVCAR-8H,graph,0.004957787022743836,100,10,2
31,86tx82ve,bt_SGC,64,128,P388,graph,0.009742737557598209,100,30,6
32,nks70dlw,bt_SGC,64,256,P388H,batch,0.0008541493478979698,100,10,6
33,fi5qock0,bt_SGC,32,32,PC-3,batch,0.006822202769905525,100,30,4
34,qz65fwhi,bt_SGC,32,64,PC-3H,graph,0.00987242115650915,200,30,2
35,6ko1qkyn,bt_SGC,128,256,PTC_FM,graph,0.0049355091222205725,200,30,2
36,9ov3jrzr,bt_SGC,64,64,PTC_FR,graph,0.009386504569571389,100,20,6
37,j9ecklkg,bt_SGC,64,64,PTC_MM,graph,0.00018537568479238344,100,10,6
38,mmxrsjic,bt_SGC,128,128,PTC_MR,batch,0.0006456863473019854,200,30,6
39,80a1yfrx,bt_SGC,32,128,SF-295,graph,0.009910239798343571,100,20,2
40,hzuhh65w,bt_SGC,32,32,SF-295H,graph,0.007008723983916721,200,20,2
41,7bbt564m,bt_SGC,32,32,SN12C,graph,0.007814166080729197,200,10,2
42,mpd3bwt3,bt_SGC,32,64,SN12CH,graph,0.007944175080871073,200,30,4
43,wb6wqle2,bt_SGC,32,256,SW-620,graph,0.004217224464548341,100,10,6
44,tjzz48or,bt_SGC,64,256,SW-620H,graph,0.0007251659009578423,100,30,4
45,qupy7irq,bt_SGC,64,256,UACC257,batch,0.008571545492889401,100,20,6
46,2hic801n,bt_SGC,64,32,UACC257H,graph,0.00817863882801119,200,10,4
47,32spgq35,bt_SGC,64,128,Yeast,graph,0.009862724799745317,200,10,6
48,gf19ygdr,bt_SGC,32,256,YeastH,graph,0.00422737956445917,200,10,4
