name,Graphs,Classes,Avg. Nodes,Avg. Edges,Node Labels,Edge Labels,Node Attr.,Geometry,Edge Attr.,catagory
AIDS,2000,2,15.69,16.20,+,+,+ (4),--,--,Small molecules
BZR,405,2,35.75,38.36,+,--,+ (3),"3D, RI",--,Small molecules
BZR_MD,306,2,21.30,225.06,+,+,--,--,+ (1),Small molecules
COX2,467,2,41.22,43.45,+,--,+ (3),"3D, RI",--,Small molecules
COX2_MD,303,2,26.28,335.12,+,+,--,--,+ (1),Small molecules
DHFR,756,2,42.43,44.54,+,--,+ (3),"3D, RI",--,Small molecules
DHFR_MD,393,2,23.87,283.02,+,+,--,--,+ (1),Small molecules
ER_MD,446,2,21.33,234.85,+,+,--,--,+ (1),Small molecules
FRANKENSTEIN,4337,2,16.90,17.88,--,--,+ (780),--,--,Small molecules
MCF-7,27770,2,26.40,28.53,+,+,--,--,--,Small molecules
MCF-7H,27770,2,47.31,49.44,+,+,--,--,--,Small molecules
MOLT-4,39765,2,26.10,28.14,+,+,--,--,--,Small molecules
MOLT-4H,39765,2,46.70,48.74,+,+,--,--,--,Small molecules
Mutagenicity,4337,2,30.32,30.77,+,+,--,--,--,Small molecules
MUTAG,188,2,17.93,19.79,+,+,--,--,--,Small molecules
NCI1,4110,2,29.87,32.30,+,--,--,--,--,Small molecules
NCI109,4127,2,29.68,32.13,+,--,--,--,--,Small molecules
NCI-H23,40353,2,26.07,28.10,+,+,--,--,--,Small molecules
NCI-H23H,40353,2,46.67,48.70,+,+,--,--,--,Small molecules
OVCAR-8,40516,2,26.08,28.11,+,+,--,--,--,Small molecules
OVCAR-8H,40516,2,46.67,48.70,+,+,--,--,--,Small molecules
P388,41472,2,22.11,23.56,+,+,--,--,--,Small molecules
P388H,41472,2,40.45,41.89,+,+,--,--,--,Small molecules
PC-3,27509,2,26.36,28.49,+,+,--,--,--,Small molecules
PC-3H,27509,2,47.20,49.33,+,+,--,--,--,Small molecules
PTC_FM,349,2,14.11,14.48,+,+,--,--,--,Small molecules
PTC_FR,351,2,14.56,15.00,+,+,--,--,--,Small molecules
PTC_MM,336,2,13.97,14.32,+,+,--,--,--,Small molecules
PTC_MR,344,2,14.29,14.69,+,+,--,--,--,Small molecules
SF-295,40271,2,26.06,28.09,+,+,--,--,--,Small molecules
SF-295H,40271,2,46.65,48.68,+,+,--,--,--,Small molecules
SN12C,40004,2,26.08,28.11,+,+,--,--,--,Small molecules
SN12CH,40004,2,46.69,48.72,+,+,--,--,--,Small molecules
SW-620,40532,2,26.06,28.09,+,+,--,--,--,Small molecules
SW-620H,40532,2,46.63,48.66,+,+,--,--,--,Small molecules
UACC257,39988,2,26.09,28.13,+,+,--,--,--,Small molecules
UACC257H,39988,2,46.68,48.71,+,+,--,--,--,Small molecules
Yeast,79601,2,21.54,22.84,+,+,--,--,--,Small molecules
YeastH,79601,2,39.45,40.75,+,+,--,--,--,Small molecules
DD,1178,2,284.32,715.66,+,--,--,--,--,Bioinformatics
ENZYMES,600,6,32.63,62.14,+,--,+ (18),--,--,Bioinformatics
KKI,83,2,26.96,48.42,+,--,--,--,--,Bioinformatics
OHSU,79,2,82.01,199.66,+,--,--,--,--,Bioinformatics
Peking_1,85,2,39.31,77.35,+,--,--,--,--,Bioinformatics
PROTEINS_full,1113,2,39.06,72.82,+,--,+ (29),--,--,Bioinformatics
COIL-DEL,3900,100,21.54,54.24,--,+,+ (2),--,--,Computer vision
COIL-RAG,3900,100,3.01,3.02,--,--,+ (64),--,+ (1),Computer vision
Cuneiform,267,30,21.27,44.80,+,+,+ (3),3D,+ (2),Computer vision
Fingerprint,2149,15,7.06,5.76,--,--,+ (2),2D,+ (2),Computer vision
FIRSTMM_DB,41,11,1377.27,3074.10,+,--,+ (1),--,+ (2),Computer vision
Letter-high,2250,15,4.67,4.50,--,--,+ (2),2D,--,Computer vision
Letter-low,2250,15,4.68,3.13,--,--,+ (2),2D,--,Computer vision
Letter-med,2250,15,4.67,3.21,--,--,+ (2),2D,--,Computer vision
MSRC_9,221,8,40.58,97.94,+,--,--,--,--,Computer vision
MSRC_21,563,20,77.52,198.32,+,--,--,--,--,Computer vision
MSRC_21C,209,20,40.28,96.60,+,--,--,--,--,Computer vision
COLORS-3,10500,11,61.31,91.03,--,--,+ (4),--,--,Synthetic
SYNTHETIC,300,2,100.00,196.00,+,--,+ (1),--,--,Synthetic
SYNTHETICnew,300,2,100.00,196.25,--,--,+ (1),--,--,Synthetic
Synthie,400,4,95.00,172.93,--,--,+ (15),--,--,Synthetic
